state,electric,plug-in_hybrid_electric,hybrid_electric,biodiesel,ethanol/flex,compressed_natural_gas,propane,hydrogen,gasoline,diesel,total,alternative_fuel_total,traditional_fuel_total,electrified_total,alternative_fuel_percent,traditional_fuel_percent,electric_percent,plug-in_hybrid_electric_percent,hybrid_electric_percent,electrified_percent,gasoline_percent,diesel_percent,dominant_alternative_fuel_type
Alabama,13000,5800,63300,54200,441200,100,100,0,4102200,127000,4806900,577700,4229200,82100,12.01814058956916,87.98185941043084,0.27044456926501487,0.12065988474900663,1.3168570180365724,1.707961472050594,85.33982400299568,2.642035407435145,ethanol/flex
Alaska,2700,900,10600,9600,46800,0,0,0,454300,29800,554700,70600,484100,14200,12.727600504777357,87.27239949522264,0.48674959437533805,0.16224986479177933,1.9109428519920677,2.559942311159185,81.90012619433928,5.37227330088336,ethanol/flex
Arizona,89800,25600,175700,68600,437100,600,700,0,5469000,197700,6464800,798100,5666700,291100,12.345316173740875,87.65468382625913,1.3890607598069546,0.39599059522336344,2.71779482737285,4.502846182403168,84.59658458111619,3.0580992451429276,ethanol/flex
Arkansas,7100,3200,37000,37000,276700,200,0,0,2246100,90700,2698000,361200,2336800,47300,13.387694588584138,86.61230541141587,0.2631578947368421,0.11860637509266124,1.3713862120088955,1.753150481838399,83.25055596738325,3.361749444032617,ethanol/flex
California,1256600,410700,1703200,201600,1314600,10100,1500,16900,31191900,735300,36842400,4915200,31927200,3370500,13.341150413653832,86.65884958634616,3.4107441426182876,1.1147482248713438,4.622934445095868,9.148426812585498,84.66305126701843,1.9957983193277309,hybrid_electric
Colorado,90100,37500,152700,68100,334300,300,100,0,4508800,203400,5395300,683100,4712200,280300,12.661019776472116,87.33898022352788,1.6699720126777011,0.6950493948436602,2.8302411358033845,5.195262543324746,83.56903230589587,3.769947917632013,ethanol/flex
Connecticut,31600,18400,75300,10900,133600,100,0,0,2612600,42300,2924800,269900,2654900,125300,9.227981400437637,90.77201859956236,1.0804157549234135,0.6291028446389497,2.574535010940919,4.284053610503282,89.32576586433261,1.4462527352297594,ethanol/flex
Delaware,8400,3800,22900,5100,63900,0,0,0,791300,14200,909600,104100,805500,35100,11.444591029023748,88.55540897097626,0.9234828496042217,0.4177660510114336,2.517590149516271,3.8588390501319263,86.99428320140721,1.5611257695690413,ethanol/flex
Florida,254900,57300,414500,170500,1101100,400,100,0,16136500,351800,18487100,1998800,16488300,726700,10.811863407457091,89.1881365925429,1.3787992708429122,0.30994585413612735,2.242103953567623,3.9308490785466623,87.2851880500457,1.9029485424972008,ethanol/flex
Georgia,92400,22700,175300,92500,719400,300,200,0,8256400,206300,9565500,1102800,8462700,290400,11.528932099733417,88.47106790026659,0.9659714599341384,0.23731117035178506,1.8326276723642256,3.035910302650149,86.31435889394177,2.1567090063248133,ethanol/flex
Hawaii,25600,7300,36400,3400,37300,0,0,0,951000,15400,1076400,110000,966400,69300,10.219249349684132,89.78075065031587,2.3782980304719437,0.6781865477517651,3.3816425120772946,6.438127090301003,88.3500557413601,1.4306949089557786,ethanol/flex
Idaho,8500,4600,43700,45900,132900,100,100,0,1568600,138600,1943000,235800,1707200,56800,12.1358723623263,87.8641276376737,0.4374678332475553,0.23674729799279462,2.249099330931549,2.923314462171899,80.73082861554298,7.133299022130727,ethanol/flex
Illinois,99600,33400,285400,61500,772900,300,0,0,8560300,170200,9983600,1253100,8730500,418400,12.551584598741936,87.44841540125806,0.997636123242117,0.3345486598020754,2.8586882487279137,4.190873031772107,85.7436195360391,1.7047958652189592,ethanol/flex
Indiana,26100,12900,119100,56300,576300,300,0,0,5166200,156400,6113600,791000,5322600,158100,12.93836691965454,87.06163308034546,0.4269170374247579,0.21100497252028264,1.94811567652447,2.5860376864695103,84.5034022507197,2.5582308296257525,ethanol/flex
Iowa,9000,6100,57200,41700,331300,100,0,0,2545400,105000,3095800,445400,2650400,72300,14.387234317462369,85.61276568253763,0.2907164545513276,0.19704115252923313,1.8476645778151044,2.335422184895665,82.22107371277214,3.391691969765489,ethanol/flex
Kansas,11300,5600,50400,27900,253500,200,100,0,2168600,87400,2605000,349000,2256000,67300,13.397312859884835,86.60268714011517,0.4337811900191939,0.21497120921305182,1.9347408829174664,2.5834932821497123,83.24760076775432,3.3550863723608444,ethanol/flex
Kentucky,11600,5600,67100,36900,361200,300,0,0,3415000,117600,4015300,482700,3532600,84300,12.021517694817325,87.97848230518268,0.2888949767140687,0.13946654048265383,1.6711080118546562,2.0994695290513783,85.04968495504694,2.928797350135731,ethanol/flex
Louisiana,8200,4000,40200,64200,380100,100,0,0,3142800,115500,3755100,496800,3258300,52400,13.230007190221299,86.7699928097787,0.2183696838965673,0.10652179702271578,1.0705440600782936,1.3954355409975767,83.69417592074778,3.075816889030918,ethanol/flex
Maine,7400,7600,33600,12000,104500,0,0,0,1036100,26900,1228100,165100,1063000,48600,13.443530657112612,86.55646934288738,0.6025567950492631,0.6188421138343783,2.735933555899357,3.9573324647829984,84.36609396628938,2.1903753765979967,ethanol/flex
Maryland,72100,31300,168700,32100,309300,300,0,0,4327800,86900,5028500,613800,4414700,272100,12.206423386695834,87.79357661330417,1.4338271850452422,0.6224520234662424,3.3548771999602267,5.411156408471711,86.06542706572536,1.7281495475788007,ethanol/flex
Massachusetts,73800,43800,187300,21300,285000,200,0,0,4791300,58400,5461100,611400,4849700,304900,11.195546684733845,88.80445331526616,1.351376096390837,0.8020362198091959,3.4297119627913792,5.583124278991412,87.73507168885389,1.0693816264122613,ethanol/flex
Michigan,50300,29100,148100,70400,873700,300,0,0,7129600,174500,8476000,1171900,7304100,227500,13.826097215667769,86.17390278433223,0.5934403020292591,0.3433223218499292,1.747286455875413,2.6840490797546015,84.11514865502595,2.0587541293062768,ethanol/flex
Minnesota,37100,16100,124500,52700,516400,100,0,0,4219200,127900,5094000,746900,4347100,177700,14.66234786022772,85.33765213977227,0.7283078131134668,0.3160581075775422,2.4440518256772674,3.488417746368276,82.82685512367492,2.5107970160973694,ethanol/flex
Mississippi,3600,2000,28200,34900,295200,100,0,0,2275600,75200,2714800,364000,2350800,33800,13.407985855311624,86.59201414468838,0.13260645351407102,0.07367025195226168,1.0387505525268896,1.2450272579932224,83.82201267128335,2.7700014734050393,ethanol/flex
Missouri,26900,13900,113900,70400,575500,900,100,0,4608600,178200,5588400,801600,4786800,154700,14.343998282155896,85.6560017178441,0.48135423376995207,0.24872951113019828,2.0381504545129197,2.76823419941307,82.4672535967361,3.1887481211080093,ethanol/flex
Montana,4600,2500,21100,37900,94500,0,0,0,780700,69600,1010900,160600,850300,28200,15.88683351468988,84.11316648531012,0.45504006330992186,0.24730438223365317,2.087248986052033,2.7895934315956077,77.22821248392522,6.884954001384905,ethanol/flex
Nebraska,6900,3800,32600,28900,197100,100,0,0,1600400,76100,1945900,269400,1676500,43300,13.844493550542166,86.15550644945783,0.3545917056374942,0.19528238861195335,1.6753173338814944,2.225191428130942,82.24471966699214,3.9107867824656974,ethanol/flex
Nevada,47400,10600,69600,27200,125600,200,100,0,2169300,85800,2535800,280700,2255100,127600,11.069484975155769,88.93051502484423,1.8692325893209243,0.41801403896206324,2.744695953939585,5.031942582222572,85.5469674264532,3.38354759839104,ethanol/flex
New Hampshire,9900,6600,36800,13900,89600,100,0,0,1185300,29200,1371400,156900,1214500,53300,11.44086335131982,88.55913664868018,0.7218900393758203,0.48126002625054687,2.683389237275777,3.8865393029021438,86.42992562345049,2.1292110252296923,ethanol/flex
New Jersey,134800,40900,174200,27800,392100,300,0,0,6433000,84600,7287700,770100,6517600,349900,10.56711994181978,89.43288005818022,1.8496919467047217,0.5612195891707946,2.3903289103558047,4.801240446231321,88.2720199788685,1.160860079311717,ethanol/flex
New Mexico,10300,4900,44300,32100,151600,100,100,0,1597600,88500,1929500,243400,1686100,59500,12.61466701217932,87.38533298782068,0.5338170510494947,0.2539518009847111,2.2959315884944287,3.0837004405286343,82.79865250064785,4.586680487172843,ethanol/flex
New York,131300,92300,314000,54300,591100,400,100,0,9905500,150500,11239500,1183500,10056000,537600,10.529827839316695,89.4701721606833,1.1682014324480625,0.8212109079585391,2.793718581787446,4.783130922194047,88.13114462387117,1.3390275368121358,ethanol/flex
North Carolina,70200,23700,210600,80200,655000,300,100,0,7764000,209700,9013800,1040100,7973700,304500,11.538973573853424,88.46102642614657,0.7788058310590428,0.26293017373360844,2.3364174931771284,3.37815349796978,86.13459362311123,2.326432803035346,ethanol/flex
North Dakota,1000,800,8200,20400,89900,0,0,0,625300,44600,790200,120300,669900,10000,15.223993925588458,84.77600607441154,0.12655024044545685,0.10124019235636549,1.037711971652746,1.2655024044545684,79.13186535054416,5.644140723867375,ethanol/flex
Ohio,50400,24000,199800,70300,833500,700,100,0,8881400,196200,10256400,1178800,9077600,274200,11.493311493311493,88.5066885066885,0.4914004914004914,0.234000234000234,1.948051948051948,2.673452673452674,86.5937365937366,1.9129519129519128,ethanol/flex
Oklahoma,22800,33000,56400,63100,352400,1800,200,0,3567500,145700,4242900,529700,3713200,112200,12.48438567960593,87.51561432039408,0.537368309411016,0.7777699215159443,1.3292795022272503,2.6444177331542105,84.08164227297368,3.4339720474203963,ethanol/flex
Oregon,64400,28800,156900,55500,184600,100,100,0,3074300,217000,3781700,490400,3291300,250100,12.967712933336859,87.03228706666314,1.7029378321918716,0.7615622603590977,4.148927730914668,6.613427823465637,81.29412697992966,5.73816008673348,ethanol/flex
Pennsylvania,70200,38900,245400,73900,661700,500,100,0,8886400,192100,10169200,1090700,9078500,354500,10.725524131691776,89.27447586830823,0.6903197891672895,0.3825276324587971,2.413169177516422,3.4860165991425087,87.38543838256697,1.889037485741258,ethanol/flex
Rhode Island,6400,5100,22100,3100,41900,0,0,0,782000,11000,871600,78600,793000,33600,9.017898118402936,90.98210188159706,0.7342817806333181,0.5851307939421753,2.535566773749426,3.8549793483249197,89.72005507113354,1.2620468104635154,ethanol/flex
South Carolina,20900,9000,83100,44600,404600,100,100,0,4325000,110100,4997500,562400,4435100,113000,11.253626813406703,88.7463731865933,0.41820910455227617,0.18009004502251127,1.6628314157078539,2.2611305652826412,86.5432716358179,2.2031015507753877,ethanol/flex
South Dakota,1700,1300,11900,21500,98800,0,0,0,718300,51200,904700,135200,769500,14900,14.94418039128993,85.05581960871007,0.18790759367746215,0.14369404222394164,1.3153531557422349,1.6469547916436387,79.39648502265945,5.659334586050624,ethanol/flex
Tennessee,33200,11000,113300,53100,509000,200,100,0,5620500,160700,6501100,719900,5781200,157500,11.073510636661489,88.92648936333852,0.5106828075248805,0.16920213502330375,1.7427819907400288,2.422666933288213,86.4545999907708,2.4718893725677193,ethanol/flex
Texas,230100,55300,445100,460700,2315400,1300,1300,0,21392800,772800,25674800,3509200,22165600,730500,13.667876672846527,86.33212332715348,0.8962095128297006,0.21538629317463037,1.7336064935267266,2.8452022995310577,83.32216804025737,3.0099552868961004,ethanol/flex
Utah,40000,13000,83200,68500,185200,2200,500,0,2499600,158000,3050200,392600,2657600,136200,12.871287128712872,87.12871287128714,1.311389417087404,0.4262015605534063,2.7276899875418006,4.465280965182611,81.94872467379189,5.179988197495247,ethanol/flex
Vermont,7800,5700,20300,7000,36600,0,0,0,496000,14700,588100,77400,510700,33800,13.161027036218332,86.83897296378167,1.326305050161537,0.9692229212718926,3.4517939125998978,5.747321884033328,84.33939806155416,2.499574902227512,ethanol/flex
Virginia,84900,26800,229400,44300,484800,300,0,0,6670000,152800,7693300,870500,6822800,341100,11.315040359793587,88.68495964020642,1.1035576410643027,0.3483550621969766,2.9818153458203893,4.433728049081669,86.69881585275499,1.986143787451419,ethanol/flex
Washington,152100,41200,307200,73800,337700,100,100,0,5583000,274200,6769400,912200,5857200,500500,13.475344934558454,86.52465506544155,2.2468756462906607,0.6086211481076609,4.538068366472657,7.3935651608709785,82.47407451177357,4.050580553667976,ethanol/flex
West Virginia,2800,1800,22400,17300,123400,100,0,0,1281500,46400,1495700,167800,1327900,27000,11.218827304940831,88.78117269505917,0.18720331617302935,0.12034498896837602,1.4976265293842348,1.8051748345256402,85.67894631276326,3.102226382295915,ethanol/flex
Wisconsin,24900,12500,123600,52900,536200,300,0,0,4604700,147500,5502600,750400,4752200,161000,13.637189692145531,86.36281030785446,0.4525133573219932,0.22716534002108096,2.246210882128448,2.9258895794715225,83.6822592956057,2.6805510122487552,ethanol/flex
Wyoming,1100,800,8400,21200,57700,0,0,0,489100,60900,639200,89200,550000,10300,13.954943679599499,86.0450563204005,0.172090112640801,0.1251564455569462,1.3141426783479349,1.6113892365456821,76.51752190237798,9.527534418022528,ethanol/flex
